FGA,FGM,FG%,2FGA,2FGM,2FG%,3FGA,3FGM,3FG%,FTA,FTM,FT%,OR,DR,TR,ASSISTS,BLOCKS,TURNOVERS,STEALS,PF,GAME_ID,TEAM_NAME,PTS,YEAR
76,28,36.8%,55,25,45.5%,21,3,14.3%,17,12,70.6%,22,28,50,18,2,20,7,19,Wr966eJ7,AS Police,65,2021
84,34,40.5%,52,24,46.2%,32,10,31.3%,16,9,56.3%,25,30,55,25,3,13,12,21,Wr966eJ7,FAP,87,2021
61,30,49.2%,40,22,55%,21,8,38.1%,18,11,61.1%,11,30,41,16,1,24,10,22,YDnr9aE0,Petro Atletico,79,2021
64,25,39.1%,40,19,47.5%,24,6,25%,19,16,84.2%,10,23,33,13,1,19,11,17,YDnr9aE0,AS Sale,72,2021
65,36,55.4%,46,29,63%,19,7,36.8%,18,10,55.6%,10,32,42,25,3,19,9,13,YHYK3YSm,Zamalek,89,2021
73,28,38.4%,46,21,45.7%,27,7,25.9%,10,8,80%,11,24,35,11,2,17,8,23,YHYK3YSm,Petro Atletico,71,2021
65,30,46.2%,35,19,54.3%,30,11,36.7%,22,14,63.6%,15,28,43,32,3,14,5,17,YRcT49qm,Monastir,85,2023
65,26,40%,38,17,44.7%,27,9,33.3%,22,14,63.6%,12,21,33,19,3,12,5,21,YRcT49qm,Kwara Falcons,75,2023
79,27,34.2%,48,22,45.8%,31,5,16.1%,17,9,52.9%,18,25,43,15,0,17,7,18,ziIhBB6J,Stade Malien,68,2023
57,28,49.1%,34,22,64.7%,23,6,26.1%,23,18,78.3%,6,35,41,14,4,21,9,19,ziIhBB6J,Monastir,78,2023
